time, A, V, D
1235415,0.0,-16.639997,-27758.87
1235432,0.0,-16.639997,-28041.75
1235446,0.0,-16.639997,-28274.71
1235463,0.0,-16.639997,-28557.592
1235481,0.0,-16.639997,-28857.111
1235498,-0.050000012,-16.639997,-29123.352
1235514,-0.050000012,-17.014997,-29392.592
1235530,-0.060000002,-17.389997,-29667.832
1235546,0.0,-17.869997,-29967.543
1235564,0.0,-17.869997,-30289.203
1235582,0.0,-17.869997,-30610.863
1235597,0.0,-17.869997,-30878.914
1235614,-0.060000002,-17.869997,-31164.834
1235631,-0.060000002,-18.349997,-31472.703
1235649,-0.060000002,-18.859997,-31807.594
1235664,0.0,-19.309998,-32112.953
1235681,0.0,-19.309998,-32441.223
1235697,0.0,-19.309998,-32750.184
1235714,0.0,-19.309998,-33078.453
1235731,0.0,-19.309998,-33406.723
1235748,0.0,-19.309998,-33734.992
1235765,-0.060000002,-19.309998,-34024.64
1235780,0.0,-19.759998,-34356.734
1235797,0.0,-19.759998,-34692.656
1235814,0.0,-19.759998,-35028.58
1235830,0.0,-19.759998,-35344.74
1235848,-0.060000002,-19.759998,-35680.66
1235865,-0.050000012,-20.239998,-36020.66
1235880,0.0,-20.614998,-36347.5
1235897,0.0,-20.614998,-36697.953
1235915,-0.060000002,-20.614998,-37048.406
1235931,-0.050000012,-21.064999,-37381.848
1235949,-0.050000012,-21.489998,-37764.844
1235965,-0.04000002,-21.864998,-38111.684
1235981,0.0,-22.184998,-38486.11
1235997,0.0,-22.184998,-38841.07
1236015,-0.050000012,-22.184998,-39218.215
1236031,-0.060000002,-22.559998,-39576.176
1236047,0.0,-23.039997,-39963.777
1236064,0.0,-23.039997,-40355.457
1236079,0.0,-23.039997,-40701.06
1236098,0.0,-23.039997,-41138.82
1236115,0.0,-23.039997,-41530.5
1236132,0.0,-23.039997,-41922.18
1236147,0.0,-23.039997,-42267.78
1236164,0.0,-23.039997,-42659.46
1236180,0.0,-23.039997,-43028.1
1236198,-0.060000002,-23.039997,-43419.78
1236214,-0.060000002,-23.999996,-43819.62
1236231,0.0,-24.509996,-44231.957
1236248,0.0,-24.509996,-44648.63
1236264,0.0,-24.509996,-45040.79
1236280,0.0,-24.509996,-45432.95
1236297,0.0,-24.509996,-45849.62
1236314,0.0,-24.509996,-46266.293
1236331,0.0,-24.509996,-46682.965
1236347,0.0,-24.509996,-47075.125
1236365,0.0,-24.509996,-47516.305
1236380,0.0,-24.509996,-47883.953
1236397,0.0,-24.509996,-48300.625
1236414,0.0,-24.509996,-48717.297
1236431,0.0,-24.509996,-49133.97
1236446,0.0,-24.509996,-49501.617
1236465,0.0,-24.509996,-49967.31
1236480,0.0,-24.509996,-50334.957
1236497,0.0,-24.509996,-50751.63
1236513,0.0,-24.509996,-51143.79
1236531,0.0,-24.509996,-51584.97
1236548,0.0,-24.509996,-52001.64
1236564,-0.060000002,-24.509996,-52369.29
1236581,0.0,-25.019997,-52815.06
1236597,0.0,-25.019997,-53215.38
1236615,-0.060000002,-25.019997,-53640.72
1236631,0.0,-25.499996,-54070.14
1236647,-0.050000012,-25.499996,-54452.64
1236664,0.0,-25.924995,-54915.465
1236681,-0.060000002,-25.924995,-55330.266
1236698,0.0,-26.434996,-55801.504
1236714,0.0,-26.434996,-56224.465
1236732,-0.050000012,-26.434996,-56673.86
1236747,0.0,-26.809996,-57099.82
1236765,-0.060000002,-26.809996,-57555.59
1236782,-0.060000002,-27.289995,-58015.44
1236798,0.0,-27.769995,-58483.453
1236813,0.0,-27.769995,-58900.004
1236832,0.0,-27.769995,-59427.633
1236849,0.0,-27.769995,-59899.723
1236864,0.0,-27.769995,-60316.273
1236881,0.0,-27.769995,-60788.363
1236897,0.0,-27.769995,-61232.684
1236915,0.0,-27.769995,-61732.543
1236930,0.0,-27.769995,-62149.094
1236947,0.0,-27.769995,-62621.184
1236964,0.0,-27.769995,-63093.273
1236982,0.0,-27.769995,-63593.133
1236997,0.0,-27.769995,-64009.684
1237015,0.0,-27.769995,-64509.543
1237030,0.0,-27.769995,-64926.094
1237048,0.0,-27.769995,-65425.953
1237064,0.0,-27.769995,-65870.27
1237082,0.0,-27.769995,-66370.13
1237098,0.0,-27.769995,-66814.45
1237114,0.0,-27.769995,-67258.77
1237131,0.0,-27.769995,-67730.87
1237148,0.0,-27.769995,-68202.96
1237165,0.0,-27.769995,-68675.055
1237182,0.0,-27.769995,-69147.15
1237199,0.0,-27.769995,-69619.24
1237214,0.0,-27.769995,-70035.79
1237230,0.0,-27.769995,-70480.11
1237248,0.0,-27.769995,-70979.97
1237265,0.0,-27.769995,-71452.06
1237280,0.0,-27.769995,-71868.61
1237298,-0.050000012,-27.769995,-72340.7
1237314,-0.060000002,-28.144995,-72788.02
1237331,-0.060000002,-28.624994,-73270.57
1237346,0.0,-29.074995,-73732.17
1237363,0.0,-29.074995,-74226.445
1237380,0.0,-29.074995,-74720.72
1237398,-0.04000002,-29.074995,-75214.99
1237415,0.0,-29.414995,-75741.4
1237432,-0.060000002,-29.414995,-76212.04
1237448,0.0,-29.894995,-76716.17
1237464,0.0,-29.894995,-77194.49
1237481,0.0,-29.894995,-77702.71
1237498,0.0,-29.894995,-78210.93
1237515,-0.029999971,-29.894995,-78659.35
1237532,0.0,-30.149994,-79229.78
1237546,0.0,-30.149994,-79651.88
1237563,0.0,-30.149994,-80164.43
1237581,-0.050000012,-30.149994,-80676.98
1237598,0.0,-30.574993,-81223.5
1237614,-0.060000002,-30.574993,-81682.125
1237630,-0.060000002,-31.024994,-82174.92
1237649,-0.050000012,-31.564995,-82769.52
1237665,-0.050000012,-32.364994,-83312.93
1237681,0.0,-32.764996,-83833.97
1237697,-0.050000012,-32.764996,-84325.445
1237714,-0.050000012,-33.164997,-84885.85
1237731,0.0,-33.589996,-85486.65
1237747,-0.060000002,-33.589996,-85956.91
1237764,0.0,-34.099995,-86599.96
1237781,-0.050000012,-34.099995,-87145.56
1237797,0.0,-34.499996,-87728.664
1237814,0.0,-34.499996,-88315.164
1237831,0.0,-34.499996,-88901.664
1237848,0.0,-34.499996,-89488.164
1237865,-0.050000012,-34.499996,-90005.664
1237882,0.0,-34.924995,-90665.2
1237897,-0.050000012,-34.924995,-91154.16
1237914,-0.050000012,-35.324997,-91751.28
1237931,0.0,-35.749996,-92390.95
1237950,0.0,-35.749996,-93070.2
1237964,-0.04000002,-35.749996,-93534.95
1237981,0.0,-36.089996,-94181.516
1237997,-0.060000002,-36.089996,-94722.87
1238014,0.0,-36.599995,-95377.08
1238031,-0.060000002,-36.599995,-95962.68
1238047,-0.050000012,-37.049995,-96551.88
1238063,0.0,-37.449997,-97185.13
1238082,0.0,-37.449997,-97896.68
1238097,-0.04000002,-37.449997,-98383.53
1238115,-0.01999998,-37.789997,-99098.31
1238131,-0.00999999,-37.94,-99704.16
1238147,0.0,-38.019997,-100349.81
1238164,0.0,-38.019997,-100996.16
1238181,0.0,-38.019997,-101642.5
1238198,0.0,-38.019997,-102288.84
1238215,0.049999952,-38.019997,-102859.14
1238232,0.059999943,-37.644997,-103502.3
1238247,-0.06999999,-37.225,-104101.26
1238264,-0.050000012,-37.785,-104738.84
1238281,-0.01999998,-38.185,-105384.586
1238297,-0.050000012,-38.335003,-105996.74
1238315,-0.04000002,-38.760002,-106690.59
1238331,0.0,-39.08,-107352.234
1238347,0.0,-39.08,-107977.516
1238363,0.0,-39.08,-108602.8
1238382,-0.04000002,-39.08,-109306.234
1238398,-0.029999971,-39.38,-109933.914
1238415,-0.050000012,-39.620003,-110605.414
1238432,0.0,-40.045002,-111322.4
1238448,0.0,-40.045002,-111963.12
1238465,-0.07999998,-40.045002,-112603.836
1238480,0.0,-40.645,-113249.36
1238498,-0.050000012,-40.645,-113940.33
1238515,0.0,-41.07,-114675.766
1238533,-0.089999974,-41.07,-115373.95
1238548,-0.00999999,-41.655,-115953.03
1238565,0.0,-41.739998,-116745.28
1238582,0.0,-41.739998,-117454.86
1238599,0.0,-41.739998,-118164.44
1238614,0.0,-41.739998,-118790.54
1238633,0.0,-41.739998,-119583.6
1238648,-0.050000012,-41.739998,-120167.96
1238665,-0.050000012,-42.14,-120880.94
1238681,0.0,-42.54,-121600.72
1238698,-0.060000002,-42.54,-122281.36
1238715,0.0,-43.05,-123051.67
1238731,0.0,-43.05,-123740.47
1238747,-0.100000024,-43.05,-124386.22
1238764,0.0,-43.899998,-125168.766
1238782,0.0,-43.899998,-125958.97
1238797,0.0,-43.899998,-126617.47
